URL,Laptop Name,Brand,Brand Reliability,CPU,CPU Performance,GPU,GPU Performance,VRAM,RAM,Battery,PPI,System,Weight,Storage,Temperature,New,Price
https://bestware.com/en/xmg-neo-16-e25.html#product.info.configuration,NEO 16,XMG,,Ultra 9 275HX,56009,RTX 5090,19,24,64,352,189,Linux,2.65,2000,47,new,18073
,ASUS VivoBook 15,Asus,3.3%,i3-8145U,3769,MX250,1.4,2,8,360,142,Linux,1.9,256,,new,2200
,ThinkPad X1 EXTREME G5,Lenovo,2.1%,i9-12900H,26852,3080 Ti,11.6,16,64,399,283,Windows,1.9,2048,52,new,12500
,Legion 5 Pro-16,Lenovo,2.1%,Ryzen 5 5600H,16471,RTX 3050 4GB Laptop GPU,4.5,4,16,420,189,Linux,2.45,512,39.9,new,4999
,AERO 16 XE5,Gigabyte ,4.5%,i7-12700H,25229,3070 Ti,10.4,8,32,448,283,Windows,2.3,2000,49,new,10099
https://techlord.pl/hp-elitebook-840-14-g10-wolf-pro-security-edition-i7-1355u64gb512gbw11p-36m-p-15454.html,EliteBook 840,HP,2%,i7-1355U,14029,Iris Xe Graphics G7 96EUs ,1.9,0,64,456,162,Windows,1.36,512,32.8,new,7299
https://consumer.huawei.com/pl/laptops/matebook-x-pro-ultra-premium-edition/buy/,MateBook X Pro,Huawei,1.2%,Ultra 7 155H,24617,Intel Arc 8-Core iGPU,3.2,0,16,498,264,Windows,0.98,1000,43.2,new,6799
https://bestware.com/en/schenker-work-17-m23.html#product.info.configuration,Schenker,Schenker,,i7-1360P,18465,Iris Xe Graphics G7 96EUs ,1.9,0,64,594,127,NoOS,2.279,1000,36.5,new,7613
,Huawei Matebook 16,Huawei,1.2%,Ryzen 7 5800H,20615,Radeon RX Vega 8 (Ryzen 4000/5000),1.4,0,16,768,189,Windows,1.99,512,40.2,new,4548
https://allegro.pl/oferta/laptop-apple-macbook-pro-14-m4-pro-12-cpu-16-gpu-48gb-2tb-gwiezdna-czern-18220779087,MacBook Pro,Apple,0.60%,M4 Pro 12 CPU,32733,16 GPU ,7.6,24,48,948,254,MacOS,1.6,2000,47.3,new,14400
https://www.refurbed.pl/en-pl/p/apple-macbook-pro-2023-m3-14/315228/,MacBook Pro 2023,Apple,0.60%,M3 Max 16-Core CPU,41259,40-Core GPU,11.2,32,64,912,254,MacOS,1.55,2000,45.9,refurbished,12978
https://www.apple.com/pl/shop/buy-mac/macbook-pro, MacBook Pro ,Apple,0.60%,M5 Max,,40-Core GPU,11.2,32,64,,,MacOS,,2000,,new,21499
https://www.x-kom.pl/p/1353837-laptop-15-16-acer-nitro-16s-ai-ryzen-ai-9-365-64gb-2tb-win11px-rtx5070ti.html,Nitro 16S,Acer,2.50%, Ryzen™ AI 9 365,30408,5070Ti,16.6,12,64,,189,Windows,2.18,2000,,new,11499
https://www.tuxedocomputers.com/en/TUXEDO-Stellaris-16-Gen7-AMD.tuxedo,Stellaris 16,TUXEDO,,Ryzen 9 9955HX,55893,RTX 5090,19,24,64,,189,Linux,2.65,2000,,new,20573
https://bestware.com/en/xmg-neo-16-a25.html,NEO 16,XMG,,Ryzen 9 9955HX3D,62369,RTX 5090,19,24,64,570,189,NoOS,2.65,2000,47.9,new,18800
